********** SUMMARY ***********
Total Mean Accuracy for 1000 runs: 0.9364308510638302
Highest Number of wrong predictions: 21
 Lowest Number of wrong predictions: 4
******** END SUMMARY *********

**** INDIVIDUAL RUN DATA *****
Run 334        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 335        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 336        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 337        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 338        Accuracy: 0.9148936170212766	             16 wrong predictions
Run 339        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 340        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 341        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 342        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 343        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 344        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 345        Accuracy: 0.925531914893617	             14 wrong predictions
Run 346        Accuracy: 0.925531914893617	             14 wrong predictions
Run 347        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 348        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 349        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 350        Accuracy: 0.9148936170212766	             16 wrong predictions
Run 351        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 352        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 353        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 354        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 355        Accuracy: 0.898936170212766	             19 wrong predictions
Run 356        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 357        Accuracy: 0.925531914893617	             14 wrong predictions
Run 358        Accuracy: 0.925531914893617	             14 wrong predictions
Run 359        Accuracy: 0.9042553191489362	             18 wrong predictions
Run 360        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 361        Accuracy: 0.925531914893617	             14 wrong predictions
Run 362        Accuracy: 0.9680851063829787	              6 wrong predictions
Run 363        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 364        Accuracy: 0.925531914893617	             14 wrong predictions
Run 365        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 366        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 367        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 368        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 369        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 370        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 371        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 372        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 373        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 374        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 375        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 376        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 377        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 378        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 379        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 380        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 381        Accuracy: 0.9148936170212766	             16 wrong predictions
Run 382        Accuracy: 0.925531914893617	             14 wrong predictions
Run 383        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 384        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 385        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 386        Accuracy: 0.925531914893617	             14 wrong predictions
Run 387        Accuracy: 0.9680851063829787	              6 wrong predictions
Run 388        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 389        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 390        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 391        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 392        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 393        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 394        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 395        Accuracy: 0.973404255319149	              5 wrong predictions
Run 396        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 397        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 398        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 399        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 400        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 401        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 402        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 403        Accuracy: 0.925531914893617	             14 wrong predictions
Run 404        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 405        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 406        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 407        Accuracy: 0.925531914893617	             14 wrong predictions
Run 408        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 409        Accuracy: 0.9521276595744681	              9 wrong predictions
Run 410        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 411        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 412        Accuracy: 0.925531914893617	             14 wrong predictions
Run 413        Accuracy: 0.925531914893617	             14 wrong predictions
Run 414        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 415        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 416        Accuracy: 0.9308510638297872	             13 wrong predictions
Run 417        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 418        Accuracy: 0.9095744680851063	             17 wrong predictions
Run 419        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 420        Accuracy: 0.9202127659574468	             15 wrong predictions
Run 421        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 422        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 423        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 424        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 425        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 426        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 427        Accuracy: 0.9361702127659575	             12 wrong predictions
Run 428        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 429        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 430        Accuracy: 0.9042553191489362	             18 wrong predictions
Run 431        Accuracy: 0.9627659574468085	              7 wrong predictions
Run 432        Accuracy: 0.9414893617021277	             11 wrong predictions
Run 433        Accuracy: 0.9574468085106383	              8 wrong predictions
Run 434        Accuracy: 0.9468085106382979	             10 wrong predictions
Run 435        Accuracy: 0.925531914893617	             14 wrong predictions
